10:11:50 PM  [main] 	Initializing Control Panel
10:11:50 PM  [main] 	Windows Version:  Enterprise  64-bit
10:11:50 PM  [main] 	XAMPP Version: 8.2.0
10:11:50 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
10:11:50 PM  [main] 	You are not running with administrator rights! This will work for
10:11:50 PM  [main] 	most application stuff but whenever you do something with services
10:11:50 PM  [main] 	there will be a security dialogue or things will break! So think 
10:11:50 PM  [main] 	about running this application with administrator rights!
10:11:50 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
10:11:50 PM  [main] 	Checking for prerequisites
10:11:51 PM  [main] 	All prerequisites found
10:11:51 PM  [main] 	Initializing Modules
10:11:51 PM  [main] 	Starting Check-Timer
10:11:51 PM  [main] 	Control Panel Ready
12:01:10 AM  [main] 	Deinitializing Modules
12:01:10 AM  [main] 	Deinitializing Control Panel

